"city";"street";"house";"floor"
"Благовещенск";"Спортивная улица";3;3
"Видное";"Первомайская улица";92;2
"Астрахань";"2-я Мичуринская улица";2;4
"Верхняя Пышма";"Бутовское Кольцо, улица";178;2
"Арзамас";"Герцена, улица";83;5
"Благовещенск";"Центральная улица";161;5
"Бор";"Большая Октябрьская улица";140;3
"Березовский";"1-я Валуевская улица";77;1
"Артем";"Михаила Кондакова, улица";177;5
"Архангельск";"Фруктовая улица";135;2
"Великие Луки";"Звёздная улица";188;1
"Абакан";"Рассветная улица";179;4
"Белореченск";"Прудная улица";25;5
"Анжеро-Судженск";"Калужское шоссе";67;5
"Борисоглебск";"1-я Мичуринская улица";51;1
"Буденновск";"Кленовый переулок";139;5
"Балашиха";"Рыбацкий переулок";107;5
"Березники";"4-я Майская улица";172;4
"Анжеро-Судженск";"Пионерский проезд";131;3
"Батайск";"Колобенка, улица";68;2
"Балахна";"4-я Майская улица";55;2
"Арсеньев";"Железнодорожная улица";32;1
"Великий Новгород";"Текстильщиков, улица";14;2
"Владивосток";"2-я Пионерская, улица";128;2
"Брянск";"Симферопольское шоссе";147;5
"Бердск";"Авиаторов, улица";153;3
"Альметьевск";"4-я Майская улица";42;1
"Боровичи";"Флотская улица";81;5
"Арзамас";"СНТ Волна, улица";22;3
"Бердск";"2-я Лазурная улица";100;5
"Биробиджан";"3-я Пионерская улица";120;5
"Астрахань";"Живописная улица";173;3
"Белебей";"Сатинская аллея";76;1
"Борисоглебск";"Полковника милиции Курочкина, улица";194;2
"Буйнакск";"Рабочая улица";123;4
"Ангарск";"Герцена, улица";53;1
"Бор";"Фруктовая улица";121;2
"Владивосток";"Героя России Чернышёва, улица";20;1
"Бор";"Парковая улица";166;5
"Буйнакск";"Дзержинского, улица";143;4
"Апатиты";"Цветочная улица";45;3
"Анжеро-Судженск";"Красноармейская улица";30;1
"Армавир";"Сиреневая улица";48;3
"Азов";"Заречная улица";147;4
"Братск";"Кирова, улица";38;2
"Владивосток";"Июльская улица";121;4
"Артем";"Восточная улица";40;1
"Белогорск";"Осенняя улица";63;1
"Батайск";"Полковника милиции Курочкина, улица";67;4
"Абакан";"1-я Майская улица";169;4
"Боровичи";"3-я Барышевская улица";16;1
"Апатиты";"Гоголя, улица";153;4
"Азов";"Изумрудная улица";194;5
"Буденновск";"Заозёрная улица";141;1
"Апатиты";"Суворова, улица";68;1
"Владивосток";"Тупик, улица";79;1
"Армавир";"3-я Рыбацкая улица";41;1
"Архангельск";"Комсомольский проезд";112;3
"Балаково";"Прудная улица";79;3
"Батайск";"Толбухина, улица";188;3
"Артем";"2-я Барышевская улица";186;3
"Барнаул";"Песчаная улица";99;2
"Верхняя Пышма";"1-я Валуевская улица";93;2
"Березники";"Железнодорожная улица";88;4
"Буденновск";"Филимонковская улица";95;2
"Алексин";"Текстильщиков, улица";53;5
"Бор";"Родниковая улица";68;4
"Александров";"Западная улица";131;4
"Астрахань";"3-я Майская улица";164;3
"Белово";"Пушкинская улица";121;5
"Белово";"1-й Терновый переулок";109;3
"Великий Новгород";"Фабричная площадь";171;3
"Буденновск";"Быковская улица";74;5
"Бузулук";"Авиационная улица";72;4
"Буйнакск";"Южный квартал";117;1
"Бор";"Герцена, улица";37;2
"Бор";"Новостройка, улица";109;5
"Батайск";"Институтская улица";157;3
"Белореченск";"6-й Кленовый переулок";158;4
"Белебей";"2-я Пионерская, улица";103;4
"Боровичи";"Генерала Максимчука, улица";118;2
"Белово";"Звёздная улица";169;5
"Великий Новгород";"Заводская улица";21;4
"Березники";"6-й Кленовый переулок";162;3
"Бердск";"Заводская улица";46;4
"Апатиты";"Тихая улица";101;3
"Балахна";"1-я Валуевская улица";98;4
"Архангельск";"Академика Верещагина, площадь";26;2
"Балашов";"Маяковского, улица";121;5
"Арзамас";"3-я Рыбацкая улица";7;1
"Ачинск";"Изумрудная улица";108;4
"Верхняя Пышма";"Колхозная улица";69;5
"Балашов";"Дальняя улица";115;4
"Александров";"Садовый Квартал, улица";28;1
"Артем";"Рабочая улица";181;1
"Балаково";"Бутовский тупик";115;3
"Армавир";"1-я Катерная улица";185;5
"Борисоглебск";"Пушкинская улица";68;1
"Александров";"3-я Пионерская улица";111;1
"Белогорск";"2-я Рыбацкая улица";181;5
"Арзамас";"Капитанская улица";112;5
"Барнаул";"Рождественская улица";10;2
"Березовский";"2-я Валуевская улица";42;4
"Артем";"Заречная улица";94;2
"Армавир";"Маяковского, улица";108;2
"Артем";"Кооперативная улица";9;3
"Бузулук";"2-я Вишнёвая улица";161;5
"Белебей";"Кооперативная улица";48;4
"Батайск";"Чапаева, улица";89;1
"Бузулук";"Лесная улица";115;2
"Березовский";"Комсомольская улица";100;3
"Армавир";"Новая улица";16;2
"Барнаул";"Ясная улица";144;4
"Великие Луки";"Мичурина, улица";41;4
"Бузулук";"Чапаева, улица";95;5
"Арсеньев";"Железнодорожная улица";32;1
"Великий Новгород";"Текстильщиков, улица";14;2
"Владивосток";"2-я Пионерская, улица";128;2
"Брянск";"Симферопольское шоссе";147;5
"Бердск";"Авиаторов, улица";153;3
"Альметьевск";"4-я Майская улица";42;1
"Боровичи";"Флотская улица";81;5
"Арзамас";"СНТ Волна, улица";22;3
"Бердск";"2-я Лазурная улица";100;5
"Биробиджан";"3-я Пионерская улица";120;5
"Астрахань";"Живописная улица";173;3
"Белебей";"Сатинская аллея";76;1
"Борисоглебск";"Полковника милиции Курочкина, улица";194;2
"Буйнакск";"Рабочая улица";123;4
"Ангарск";"Герцена, улица";53;1
"Бор";"Фруктовая улица";121;2
"Владивосток";"Героя России Чернышёва, улица";20;1
"Бор";"Парковая улица";166;5
"Буйнакск";"Дзержинского, улица";143;4
"Апатиты";"Цветочная улица";45;3
"Видное";"Трудовая улица";189;5
"Апатиты";"Набережная улица";52;2
"Видное";"Первомайская улица";67;2
"Балаково";"Городская улица";176;2
"Арсеньев";"Новостроевская улица";94;1
"Бугульма";"Лесная улица";109;2
"Анжеро-Судженск";"1-й Богородский переулок";178;4
"Видное";"Андреевская улица";11;5
"Анжеро-Судженск";"Дзержинского, улица";140;2
"Ачинск";"Чапаева, улица";180;1
"Биробиджан";"Первомайская улица";147;2
"Александров";"Летняя улица";181;3
"Алексин";"Весенняя улица";47;5
"Балашов";"3-й Кленовый переулок";150;2
"Березовский";"Академическая улица";64;4
"Бузулук";"Южная улица";67;3
"Анжеро-Судженск";"2-я Изумрудная улица";190;3
"Ачинск";"Мостотреста, улица";41;2
"Апатиты";"Светлая улица";40;1
"Белебей";"Светлый бульвар";119;5
"Анапа";"Сорок Лет Октября, улица";131;1
"Балахна";"Июльская улица";48;2
"Альметьевск";"Изумрудная улица";168;1
"Боровичи";"Большая Октябрьская улица";124;1
"Батайск";"Лесная улица (поселок Щапово)";178;5
"Асбест";"Ягодная улица";51;3
"Благовещенск";"Радужная улица";159;1
"Бердск";"Песчаная улица";198;4
"Братск";"Анны Воиновой, улица";80;4
"Бор";"Андреевская улица";196;2
"Верхняя Пышма";"Горка, улица";123;4
"Братск";"Октябрьский проспект";9;1
"Бердск";"Заозёрная улица";1;3
"Белово";"Песчаная улица";140;1
"Братск";"Киевское шоссе";166;4
"Белогорск";"Московская улица";181;3
"Борисоглебск";"Институтская улица";70;4
"Бузулук";"Спортивная улица";80;2
"Братск";"Сиреневая улица";107;2
"Артем";"4-й Заречный переулок";199;1
"Бор";"Русинская Роща, улица";182;3
"Брянск";"Физическая улица";155;4
"Апатиты";"Улица Александровы Пруды";135;5
"Бор";"Высотная улица";47;3
"Белово";"Южная улица";34;1
"Александров";"Генерала Максимчука, улица";141;4
"Абакан";"Кирова, улица";134;2
"Брянск";"Новостроевская улица";167;3
"Великие Луки";"Фабричная площадь";47;1
"Архангельск";"Почтовая улица";172;4
"Видное";"Заозёрная улица";70;3
"Бор";"Восточная улица";117;2
"Бийск";"Прудная улица";30;5
"Балахна";"Пушковых, улица";132;5
"Апатиты";"Михаила Кондакова, улица";149;2
"Верхняя Пышма";"Генерала Максимчука, улица";134;4
"Бугульма";"2-я Центральная улица";194;5
"Белогорск";"Филимонковская улица";62;4
"Балаково";"5-я Вишнёвая улица";88;3
"Ангарск";"Водопроводная улица";172;4
"Балаково";"Ново-Западная улица";158;3
"Бор";"3-я Лазурная улица";120;5
"Бор";"Евгения Родионова, улица";181;2
"Балаково";"Речная улица";165;5
"Владивосток";"Почтовая улица";46;4
"Армавир";"Киевское шоссе";55;2
"Ачинск";"Стасовой, улица";105;3
"Астрахань";"Кленовый переулок";105;2
"Видное";"Западная улица";9;5
"Барнаул";"Озёрная улица";192;2
"Бугульма";"2-я Катерная улица";18;2
"Бузулук";"Сатинская аллея";198;2
"Верхняя Пышма";"1-я Мичуринская улица";9;5
"Александров";"4-й Кленовый переулок";113;3
"Анжеро-Судженск";"Институтская улица";90;2
"Апатиты";"Быковская улица";176;5
"Алексин";"Киевское шоссе";2;1
"Владивосток";"5-я Вишнёвая улица";113;2
"Белогорск";"Чехова, улица";60;2
"Белогорск";"Еловая улица";34;3
"Ачинск";"Стасовой, улица";156;2
"Анапа";"Красноармейская улица";137;2
"Верхняя Пышма";"Текстильщиков, улица";31;1
"Белебей";"Ягодная улица";10;2
"Верхняя Пышма";"Чайковского, улица";55;3
"Борисоглебск";"Авиаторов, улица";182;4
"Балашов";"Лесная улица (поселок Щапово)";118;2
"Видное";"Флотская улица";190;1
"Великие Луки";"Чкалова, улица";151;4
"Анжеро-Судженск";"2-я Лазурная улица";140;4
"Батайск";"Олега Кошевого, улица";139;5
"Балахна";"Просека, улица";23;2
"Биробиджан";"Просека, улица";24;1
"Балахна";"Большая Октябрьская улица";145;5
"Белогорск";"7-я Вишнёвая улица";125;5
"Апатиты";"Рассветная улица";132;2
"Барнаул";"Промышленная улица";122;5
"Благовещенск";"5-я Вишнёвая улица";98;4
"Апатиты";"Генерала Трошева, улица";104;3
"Бердск";"4-я Майская улица";64;2
"Барнаул";"Луговая улица";49;4
"Астрахань";"4-я Вишнёвая улица";122;1
"Белово";"3-я Рыбацкая улица";23;4
"Боровичи";"6-я Вишнёвая улица";38;5
"Асбест";"Песчаная улица";55;3
"Братск";"1-я Катерная улица";34;4
"Белореченск";"2-я Изумрудная улица";174;2
"Александров";"Школьная улица";75;3
"Балашиха";"Луговая улица";9;3
"Анжеро-Судженск";"Колхозная улица";5;3
"Братск";"2-й Богородский переулок";186;3
"Александров";"Песчаная улица";197;4
"Белогорск";"Академическая площадь";110;4
"Артем";"Горка, улица";63;3
"Балашиха";"Южная улица";53;4
"Арзамас";"Песчаная улица";94;4
"Верхняя Пышма";"3-я Вишнёвая улица";94;4
"Бор";"Комсомольский переулок";50;3
"Брянск";"6-я Вишнёвая улица";176;3
"Буйнакск";"3-я Вишнёвая улица";59;3
"Видное";"Берёзовая улица";123;4
"Бузулук";"Колхозная улица";56;3
"Азов";"Учительский переулок";188;5
"Белово";"Ясная улица";133;1
"Белебей";"2-я Рыбацкая улица";48;3
"Балашиха";"2-я Центральная улица";165;2
"Алексин";"3-я Лазурная улица";156;5
"Анапа";"1-я Катерная улица";107;1
"Ангарск";"Капитанская улица";34;4
"Великий Новгород";"Промышленная улица";138;3
"Братск";"Нагорная улица";124;1
"Белореченск";"Барышевская улица";126;2
"Балаково";"Кленовый переулок";98;5
"Великий Новгород";"Дорожная улица";96;1
"Арзамас";"Театральная улица";92;4
"Ангарск";"5-я Майская улица";68;3
"Балашов";"Садовый квартал, улица";95;5
"Борисоглебск";"3-й Богородский переулок";35;2
"Архангельск";"1-я Изумрудная улица";72;3
"Арсеньев";"Пионерская улица";174;2
"Анжеро-Судженск";"Зелёная улица";63;2
"Бийск";"Ломоносова, улица";19;1
"Армавир";"Сатинская аллея";65;1
"Боровичи";"Садовая улица";91;4
"Бор";"Западная улица";199;3
"Абакан";"Чапаева, улица";154;4
"Борисоглебск";"Нагорная улица";130;2
"Алексин";"Заречная улица";167;1
"Барнаул";"Анны Воиновой, улица";84;4
"Белебей";"Колхозная улица";124;1
"Балахна";"Садовая улица";107;2
"Анапа";"Флотская улица";180;1
"Белогорск";"Полковника милиции Курочкина, улица";150;2
"Балахна";"Прудовая улица";36;3
"Балаково";"Стасовой, улица";55;4
"Балахна";"2-я Пионерская, улица";164;1
"Армавир";"Набережная улица";4;5
"Асбест";"Радужная улица";138;2
"Белореченск";"1-й Богородский переулок";121;3
"Владивосток";"Дорожная улица";117;5
"Асбест";"Пушкинская улица";96;4
"Боровичи";"Зелёная улица";156;2
"Анапа";"Железнодорожная улица";192;3
"Видное";"3-я Майская улица";76;4
"Буденновск";"4-й Кленовый переулок";113;5
"Буйнакск";"Быковская улица";199;1
"Балахна";"2-я Барышевская улица";29;5
"Бийск";"Лесхозная улица";98;3
"Арсеньев";"Лесхозная улица";120;1
"Астрахань";"Берёзовая улица (деревня Бурцево)";45;2
"Буйнакск";"Генерала Трошева, улица";62;1
"Альметьевск";"Колхозная улица";175;2
"Белорецк";"Дошкольная улица";168;2
"Абакан";"Кооперативная улица";29;5
"Березники";"2-я Пионерская, улица";180;2
"Верхняя Пышма";"Фабричная площадь";13;5
"Балашов";"6-я Вишнёвая улица";48;1
"Благовещенск";"Флотская улица";145;2
"Азов";"2-я Катерная улица";132;1
"Биробиджан";"1-я Пионерская улица";21;2
"Альметьевск";"Садовая улица";180;1
"Бор";"Живописная улица";79;2
"Арсеньев";"1-я Рыбацкая улица";80;4
"Великие Луки";"Киевское шоссе";103;1
"Ангарск";"Текстильщиков, улица";136;4
"Артем";"Рыбацкий переулок";11;2
"Балашов";"Академическая площадь";163;3
"Березники";"Евгения Родионова, улица";11;5
"Бор";"4-й Кленовый переулок";15;4
"Боровичи";"Михаила Кондакова, улица";22;4
"Бор";"1-я Барышевская улица";12;5
"Алексин";"Симферопольская улица";33;1
"Балашиха";"Прудовая улица";33;1
"Балахна";"Майская улица";173;3
"Березники";"Киевское шоссе";75;5
"Бугульма";"Партизанская улица";140;1
"Владивосток";"Изумрудная улица";143;1
"Белореченск";"Лагерная улица";25;4
"Ангарск";"Симферопольское шоссе";157;3
"Брянск";"Берёзовая улица (поселок Марьино)";115;1
"Ангарск";"Прудовая улица";161;5
"Балашов";"Фабричная площадь";74;3
"Алексин";"4-й Богородский переулок";143;1
"Владивосток";"Пионерская улица";54;3
"Видное";"Суворова, улица";75;4
"Великий Новгород";"Радужная улица";19;5
"Армавир";"Дзержинского, улица";148;2
"Белебей";"Лагерный переулок";59;4
"Видное";"Авиационная улица";195;1
"Артем";"Нагорная улица";166;4
"Абакан";"Просека, улица";189;4
"Арсеньев";"Рождественский переулок";69;2
"Боровичи";"Совхозная улица";155;4
"Белореченск";"Котовского, улица";153;2
"Бердск";"3-я Лазурная улица";31;4
"Верхняя Пышма";"6-я Вишнёвая улица";194;2
"Бузулук";"Восточная улица";195;1
"Бийск";"Комсомольский переулок";138;2
"Борисоглебск";"1-я Центральная улица";95;5
"Бийск";"Ломоносова, улица";107;4
"Абакан";"1-я Катерная улица";68;2
"Владивосток";"Софийская улица";74;4
"Верхняя Пышма";"Дружбы, улица";87;4
"Благовещенск";"Академика Верещагина, площадь";24;5
"Анжеро-Судженск";"4-й Заречный переулок";186;1
"Ачинск";"5-я Вишнёвая улица";7;3
"Великие Луки";"1-й Заречный переулок";28;1
"Балахна";"Лагерный переулок";160;5
"Ачинск";"4-й Заречный переулок";61;1
"Ангарск";"Люблинская улица";132;5
"Алексин";"Фабричная площадь";137;5
"Буйнакск";"Анатолия Харлампиева, улица";185;4
"Белогорск";"Мичурина, улица";61;3
"Балахна";"Кленовый переулок";172;4
"Борисоглебск";"Лермонтова, улица";52;3
"Асбест";"2-я Майская улица";176;5
"Березники";"Люблинская улица";83;3
"Буденновск";"Советская улица";13;3
"Армавир";"Зелёная улица";136;5
"Великие Луки";"Радужная улица";66;5
"Анжеро-Судженск";"Дачная улица";176;4
"Боровичи";"Флотская улица";177;4
"Александров";"Южный квартал";85;4
"Арзамас";"Щербинский проезд";58;3
"Брянск";"Майская улица";83;3
"Балашиха";"Анны Воиновой, улица";140;2
"Батайск";"Лесхозная улица";162;5
"Березовский";"Ново-Западная улица";103;4
"Белово";"Быковская улица";116;3
"Анапа";"Советская улица";108;1
"Бугульма";"6-я Вишнёвая улица";194;5
"Бузулук";"4-й Богородский переулок";140;5
"Барнаул";"Октябрьская улица";24;1
"Братск";"Луговая улица";162;5
"Алексин";"Весенняя улица";115;2
"Барнаул";"Кооперативная улица";28;5
"Абакан";"Дзержинского, улица";71;1
"Благовещенск";"Первомайская улица";79;1
"Великие Луки";"5-я Майская улица";28;2
"Артем";"4-й Кленовый переулок";82;5
"Бор";"Парковый переулок";196;5
"Астрахань";"Рабочая улица";74;1
"Бугульма";"Горка, улица";73;4
"Бердск";"Генерала Трошева, улица";58;1
"Борисоглебск";"Заозёрная улица";187;3
"Арсеньев";"3-я Лазурная улица";124;4
"Верхняя Пышма";"Ново-Западная улица";26;1
"Арзамас";"Чайковского, улица";107;5
"Березники";"4-й Кленовый переулок";9;2
"Ангарск";"Индустриальная улица";2;2
"Братск";"Авиационная улица";43;3
"Бердск";"Рассветная улица";79;2
"Балахна";"Колхозная улица";144;3
"Альметьевск";"Светлый бульвар";36;3
"Анапа";"Бутовский тупик";34;2
"Видное";"Ново-Западная улица";192;5
"Балаково";"Южный квартал";40;4
"Белогорск";"3-я Майская улица";33;3
"Братск";"Парковая улица";36;3
"Бийск";"Дальняя улица";37;4
"Белгород";"Рождественский переулок";162;5
"Ачинск";"Автомобильная дорога А-107";75;5
"Буденновск";"4-й Богородский переулок";134;5
"Белгород";"Подольская улица";92;4
"Бугульма";"Лермонтова, улица";142;2
"Белогорск";"Барышевская Роща, улица";114;1
"Алексин";"5-я Майская улица";192;1
"Артем";"Маршала Кутахова, улица";67;3
"Великие Луки";"Подольская улица";113;4
"Березники";"Калужское шоссе";43;3
"Белебей";"Филимонковская улица";30;2
"Апатиты";"Анатолия Харлампиева, улица";14;4
"Белово";"Северная улица";5;1
"Анапа";"Энгельса, улица";195;5
"Белореченск";"1-й Богородский переулок";165;3
"Братск";"Колхозная улица";64;4
"Азов";"Институтская улица";98;2
"Бузулук";"Стасовой, улица";81;1
"Абакан";"Михаила Кондакова, улица";91;3
"Белореченск";"Сосновая улица";146;4
"Балаково";"Сорок Лет Октября, улица";30;1
"Ачинск";"Центральная улица";70;2
"Видное";"Сорок Лет Октября, улица";79;1
"Александров";"Полковника милиции Курочкина, улица";14;5
"Балахна";"3-я Майская улица";164;3
"Белово";"Комсомольский проезд";174;1
"Асбест";"Светлый бульвар";103;1
"Бийск";"Богородская улица";107;4
"Брянск";"Весенняя улица";100;5
"Великий Новгород";"Академическая площадь";9;3
"Бийск";"Генерала Трошева, улица";145;2
"Абакан";"Садовая улица";165;1
"Альметьевск";"Светлая улица";104;2
"Алексин";"Софийская улица";56;1
"Березники";"Фруктовая улица";7;1
"Боровичи";"1-я Изумрудная улица";79;1
"Астрахань";"Лагерная улица";91;5
"Арзамас";"2-я Майская улица";111;3
"Артем";"Еловая улица";167;5
"Барнаул";"8-я Вишнёвая улица";20;3
"Владивосток";"Набережная улица";3;1
"Белореченск";"Фабричная площадь";142;5
"Благовещенск";"Речная улица";146;5
"Анжеро-Судженск";"Лермонтова, улица";190;2
"Астрахань";"Чкалова, улица";165;3
"Белово";"Просека, улица";47;5
"Балахна";"Изумрудная улица";183;4
"Балахна";"3-я Рыбацкая улица";191;5
"Анжеро-Судженск";"Барыши, местечко";16;1
"Батайск";"Толбухина, улица";122;1
"Белогорск";"Урожайная улица";83;1
"Березники";"Пушкинская улица";42;1
"Ачинск";"Сиреневая улица";176;2
"Боровичи";"Барыши, местечко";48;1
"Бор";"Нагорная улица";74;3
"Ангарск";"2-я Пионерская, улица";35;5
"Анжеро-Судженск";"Трудовая улица";76;3
"Белгород";"Сатинская аллея";10;2
"Артем";"Октябрьский проспект";116;2
"Александров";"Сиреневая улица";52;3
"Великий Новгород";"Андреевская улица";175;1
"Великий Новгород";"Московская улица";114;4
"Белебей";"3-я Вишнёвая улица";99;5
"Балашов";"Дошкольная улица";103;1
"Белогорск";"Набережная улица";157;3
"Архангельск";"Институтская улица";194;2
"Борисоглебск";"Лесная улица (поселок Щапово)";30;5
"Белорецк";"1-й Заречный переулок";164;2
"Белебей";"Прибрежная улица";69;1
"Боровичи";"Сосновая улица";45;1
"Буденновск";"Академическая площадь";125;3
"Боровичи";"3-я Лазурная улица";106;2
"Артем";"Кленовый переулок";52;3
"Апатиты";"Южный квартал";76;1
"Буйнакск";"Парковый переулок";97;3
"Абакан";"Прудная улица";44;3
"Александров";"Чапаева, улица";118;5
"Александров";"2-я Центральная улица";17;1
"Братск";"Звёздная улица";29;1
"Алексин";"Автомобильная дорога А-107";86;3
"Владивосток";"Остафьевское шоссе";108;4
"Артем";"2-я Центральная улица";60;4
"Благовещенск";"1-я Рыбацкая улица";43;4
"Анжеро-Судженск";"Барышевская Роща, улица";118;3
"Владивосток";"5-я Майская улица";28;2
"Березники";"Пушкинская улица";2;1
"Апатиты";"Физическая улица";197;4
"Великий Новгород";"Чайковского, улица";32;5
"Бийск";"3-я Пионерская улица";75;2
"Апатиты";"1-й Заречный переулок";123;1
"Ачинск";"Рождественский переулок";132;2
"Альметьевск";"Анны Воиновой, улица";116;2
"Артем";"Подольская улица";1;5
"Балашов";"Садовый квартал, улица";28;4
"Биробиджан";"Тимирязева, улица";149;3
"Белогорск";"Новостроевская улица";63;2
"Апатиты";"Мичурина, улица";103;1
"Бугульма";"Быковская улица";69;5
"Асбест";"Индустриальная улица";185;1
"Артем";"Академическая площадь";52;3
"Александров";"Мичурина, улица";166;1
"Белово";"Суворова, улица";145;5
"Альметьевск";"Флотская улица";55;3
"Альметьевск";"Сатинская аллея";187;4
"Верхняя Пышма";"Обводная Дорога, улица";75;2
"Белебей";"Юбилейная улица";20;5
"Березники";"Лагерная улица";10;1
"Астрахань";"Щербинский проезд";69;4
"Березовский";"Гоголя, улица";57;2
"Борисоглебск";"3-я Майская улица";14;1
"Владивосток";"Мирная улица";90;1
"Белгород";"Садовый квартал, улица";119;2
"Буденновск";"Железнодорожная улица";127;5
"Брянск";"Берёзовая улица (поселок Марьино)";106;2
"Алексин";"2-я Центральная улица";199;1
"Березовский";"Речная улица";180;2
"Владивосток";"Нижняя улица";3;5
"Артем";"Симферопольская улица";104;4
"Верхняя Пышма";"Индустриальная улица";110;5
"Братск";"Космонавтов, улица";70;5
"Арсеньев";"Восточная улица";6;1
"Березники";"Стасовой, улица";60;5
"Александров";"Живописная улица";91;2
"Боровичи";"Первомайская улица";173;5
"Бугульма";"Сатинская аллея";108;5
"Балашов";"Садовая улица";119;4
"Буденновск";"Берёзовая улица (поселок Марьино)";143;1
"Анапа";"Рождественский переулок";9;1
"Алексин";"Берёзовая улица (поселок Марьино)";52;1
"Артем";"1-й Терновый переулок";167;2
"Балахна";"Светлый бульвар";192;3
"Братск";"Щербинский проезд";155;2
"Ангарск";"Маяковского, улица";105;4
"Великие Луки";"Летняя улица";143;2
"Великие Луки";"Чапаева, улица";48;3
"Благовещенск";"Рождественский переулок";105;1
"Балашов";"Совхозная улица";88;3
"Бердск";"Прудная улица";185;1
"Алексин";"Лагерный переулок";125;5
"Борисоглебск";"Садовый квартал, улица";157;2
"Великие Луки";"Водопроводная улица";107;5
"Балашов";"Театральная улица";67;2
"Анжеро-Судженск";"Анны Воиновой, улица";186;5
"Бугульма";"4-я Вишнёвая улица";34;2
"Бугульма";"Тупик, улица";135;1
"Боровичи";"Зелёная улица";13;1
"Анжеро-Судженск";"Ломоносова, улица";43;1
"Арзамас";"1-я Катерная улица";174;4
"Буденновск";"Озёрная улица";29;3
"Анапа";"Барыши, местечко";128;1
"Архангельск";"Северная улица";129;2
"Анжеро-Судженск";"Дачная улица";19;3
"Белгород";"2-я Пионерская, улица";170;3
"Видное";"Подмосковные вечера, улица";31;1
"Буденновск";"Осенняя улица";45;4
"Видное";"Тупик, улица";118;3
"Верхняя Пышма";"2-я Катерная улица";83;1
